first_name,last_name,title,to_date
Georgi,Facello,Senior Engineer,9999-01-01
Chirstian,Koblick,Senior Engineer,9999-01-01
Kyoichi,Maliniak,Senior Staff,9999-01-01
Anneke,Preusig,Senior Engineer,9999-01-01
Sumant,Peac,Senior Engineer,9999-01-01
Kazuhide,Peha,Senior Engineer,9999-01-01
Lillian,Haddadi,Staff,9999-01-01
Mayuko,Warwick,Engineer,9999-01-01
Shahaf,Famili,Engineer,9999-01-01
Bojan,Montemayor,Engineer,9999-01-01
Yongqiao,Berztiss,Senior Engineer,9999-01-01
Alain,Chappelet,Senior Engineer,9999-01-01
Zvonko,Nyanchama,Senior Engineer,9999-01-01
Hidefumi,Caine,Senior Engineer,9999-01-01
Sanjiv,Zschoche,Senior Staff,9999-01-01
Ebbe,Callaway,Senior Engineer,9999-01-01
Berhard,McFarlin,Senior Staff,9999-01-01
Alejandro,McAlpine,Senior Staff,9999-01-01
Gino,Leonhardt,Senior Engineer,9999-01-01
Kwee,Schusler,Senior Engineer,9999-01-01
Claudi,Stavenow,Senior Engineer,9999-01-01
Reuven,Garigliano,Technique Leader,9999-01-01
Hironoby,Sidou,Senior Engineer,9999-01-01
Mokhtar,Bernatsky,Technique Leader,9999-01-01
Erez,Ritzmann,Senior Engineer,9999-01-01
Jungsoon,Syrzycki,Senior Staff,9999-01-01
Amabile,Gomatam,Senior Engineer,9999-01-01
Jayson,Mandell,Engineer,9999-01-01
Remzi,Waschkowski,Senior Staff,9999-01-01
Hironobu,Haraldson,Senior Staff,9999-01-01
Akemi,Birch,Engineer,9999-01-01
Eben,Aingworth,Senior Engineer,9999-01-01
Kayoko,Valtorta,Senior Staff,9999-01-01
Subir,Baja,Senior Engineer,9999-01-01
Armond,Peir,Technique Leader,9999-01-01
Nishit,Casperson,Senior Engineer,9999-01-01
Diederik,Siprelle,Senior Engineer,9999-01-01
Perry,Shimshoni,Senior Engineer,9999-01-01
Zhenbing,Perng,Senior Engineer,9999-01-01
Heekeun,Majewski,Assistant Engineer,9999-01-01
Nigel,Aloisi,Senior Engineer,9999-01-01
Serif,Buescher,Senior Engineer,9999-01-01
Debatosh,Khasidashvili,Senior Staff,9999-01-01
Karsten,Szmurlo,Senior Staff,9999-01-01
Samphel,Siegrist,Engineer,9999-01-01
Mechthild,Bonifati,Staff,9999-01-01
Josyula,Hofmeyr,Senior Staff,9999-01-01
Marc,Hellwagner,Staff,9999-01-01
Pranav,Furedi,Senior Engineer,9999-01-01
Steen,Escriba,Senior Staff,9999-01-01
Mabhin,Leijenhorst,Senior Engineer,9999-01-01
Girolamo,Anandan,Senior Engineer,9999-01-01
Xiaobin,Duclos,Senior Staff,9999-01-01
Genta,Kolvik,Senior Staff,9999-01-01
Leon,Trogemann,Senior Engineer,9999-01-01
Karoline,Cesareni,Senior Staff,9999-01-01
Clyde,Vernadat,Senior Staff,9999-01-01
Lein,Vendrig,Senior Staff,9999-01-01
Nikolaos,Llado,Staff,9999-01-01
Remko,Maccarone,Engineer,9999-01-01
Frederique,Tempesti,Senior Staff,9999-01-01
Marie,Boreale,Senior Engineer,9999-01-01
Basil,Ishibashi,Senior Engineer,9999-01-01
Mahendra,Maraist,Staff,9999-01-01
Yishai,Cannane,Staff,9999-01-01
Moty,Kusakari,Senior Engineer,9999-01-01
Hercules,Benzmuller,Engineer,9999-01-01
Kauko,Birjandi,Senior Engineer,9999-01-01
Masali,Murrill,Engineer,9999-01-01
Kristine,Velardi,Senior Staff,9999-01-01
Dietrich,DuCasse,Staff,9999-01-01
Heng,Kilgour,Staff,9999-01-01
Nikolaos,Leaver,Engineer,9999-01-01
Isamu,Dahlbom,Senior Engineer,9999-01-01
Arunachalam,Badr,Senior Staff,9999-01-01
Masali,Czap,Staff,9999-01-01
Serenella,Kawashima,Engineer,9999-01-01
Snehasis,Dymetman,Senior Engineer,9999-01-01
Djelloul,Laventhal,Senior Staff,9999-01-01
Dinah,Syrzycki,Senior Engineer,9999-01-01
Pradeep,Kaminger,Staff,9999-01-01
Oksana,Brodie,Senior Staff,9999-01-01
Phule,Hammerschmidt,Senior Staff,9999-01-01
Satyanarayana,Cochrane,Staff,9999-01-01
Vasilis,Standera,Senior Staff,9999-01-01
Qunsheng,Tagansky,Technique Leader,9999-01-01
Nakhoon,Dengi,Senior Engineer,9999-01-01
Hyuckchul,Gini,Senior Staff,9999-01-01
Anneli,Frijda,Technique Leader,9999-01-01
Marl,Grospietsch,Senior Engineer,9999-01-01
Parto,Wrigley,Senior Staff,9999-01-01
Hironoby,Kaiser,Staff,9999-01-01
Make,Peir,Technique Leader,9999-01-01
Sibyl,Rahier,Senior Engineer,9999-01-01
Irena,Reutenauer,Technique Leader,9999-01-01
Volkmar,Ebeling,Technique Leader,9999-01-01
Prodip,Rosti,Senior Engineer,9999-01-01
Ulf,Siepmann,Senior Staff,9999-01-01
Danel,Impagliazzo,Senior Staff,9999-01-01
Candida,Porotnikoff,Staff,9999-01-01
Greger,Rubsam,Engineer,9999-01-01
Arunas,Luce,Technique Leader,9999-01-01
Martien,Improta,Senior Engineer,9999-01-01
Hisao,Tiemann,Senior Staff,9999-01-01
Reuven,Dengi,Engineer,9999-01-01
Bodh,Ranta,Senior Engineer,9999-01-01
Tsvetan,Matzel,Senior Staff,9999-01-01
Ung,Zaiane,Staff,9999-01-01
Guoxiang,Trogemann,Senior Engineer,9999-01-01
Amstein,Kossowski,Senior Engineer,9999-01-01
Yakkov,Servieres,Senior Engineer,9999-01-01
Pramod,Rabehasaina,Senior Engineer,9999-01-01
Maik,Luft,Senior Staff,9999-01-01
Dannz,Pell,Engineer,9999-01-01
Xiong,Varker,Staff,9999-01-01
Abdelwaheb,Riesenhuber,Senior Staff,9999-01-01
Udi,Gihr,Senior Staff,9999-01-01
Tiina,Speek,Senior Staff,9999-01-01
Marke,Cesareni,Senior Staff,9999-01-01
Ymte,Yetto,Assistant Engineer,9999-01-01
Oguz,Gimbel,Staff,9999-01-01
Yannis,Couchot,Senior Engineer,9999-01-01
Ramalingam,Gunderson,Senior Staff,9999-01-01
Kazuhito,Shiratori,Senior Engineer,9999-01-01
Jianhao,Thisen,Senior Engineer,9999-01-01
Gao,Poulakidas,Staff,9999-01-01
Kirk,Vuskovic,Senior Engineer,9999-01-01
Falguni,Kenevan,Senior Engineer,9999-01-01
Sanjit,Coors,Senior Staff,9999-01-01
Wayne,Restivo,Staff,9999-01-01
Irena,Roccetti,Engineer,9999-01-01
Gila,Ozeri,Senior Engineer,9999-01-01
Keung,Delgrande,Senior Staff,9999-01-01
Aleksander,Danlos,Senior Engineer,9999-01-01
Sham,Gyorkos,Technique Leader,9999-01-01
Krisda,Krogh,Senior Engineer,9999-01-01
Bezalel,Katzenelson,Engineer,9999-01-01
Inderjeet,Chaudhuri,Engineer,9999-01-01
Nahid,Chepyzhov,Senior Engineer,9999-01-01
Saeko,Porotnikoff,Staff,9999-01-01
Pramod,Erol,Senior Engineer,9999-01-01
Guozhong,Zucker,Engineer,9999-01-01
Hirochika,Narlikar,Engineer,9999-01-01
Otmar,Feinberg,Senior Engineer,9999-01-01
Makato,Cusworth,Senior Staff,9999-01-01
Parviz,Rebaine,Senior Staff,9999-01-01
Valeri,Danley,Engineer,9999-01-01
Guiseppe,Stranks,Senior Engineer,9999-01-01
Berhard,Daescu,Senior Staff,9999-01-01
Unal,Fendler,Technique Leader,9999-01-01
Bader,Szemeredi,Senior Engineer,9999-01-01
Uma,Koprowski,Senior Engineer,9999-01-01
Adib,Rullman,Senior Engineer,9999-01-01
Zita,Minakawa,Senior Engineer,9999-01-01
Sachar,Erdi,Engineer,9999-01-01
Sven,Huttel,Senior Staff,9999-01-01
Shim,Wiegley,Technique Leader,9999-01-01
Poorav,Ranze,Senior Engineer,9999-01-01
King,Brendel,Senior Engineer,9999-01-01
Roddy,Demeyer,Technique Leader,9999-01-01
Yunming,Beetstra,Senior Engineer,9999-01-01
Monique,Doering,Staff,9999-01-01
Ishfaq,Candan,Senior Engineer,9999-01-01
Selwyn,Merey,Senior Staff,9999-01-01
Tadahiko,Sgarro,Senior Engineer,9999-01-01
Supot,Naudin,Senior Staff,9999-01-01
